RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;LUCIEN ŠÍMA;10.0;27;3585;
1;D0CT0RKEV;10.0;27;;
3;GODSPAL;-14.0;3;;
4;MILAN MACURA;-366.0;1;1933;
