RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;D0CT0RKEV;15.0;30;;
2;MAXIM ZHMAK;13.0;15;2882;
2;GODSPAL;13.0;15;;
4;ESAS;-10.0;4;;
5;MINOKID;-11.0;2;;
6;IVAN HRBEK;-14.0;1;;
