RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;LOVELYYOU9;38.0;35;1597;
2;BONO LEE;24.0;29;;
3;BOBY SIMPSON;21.0;24;;
4;T67A;17.0;20;;
5;MARCUSHJ;16.0;17;;
6;BERKIM AS;14.0;14;;
7;PIKAREK;13.0;11;;
8;OSMANOZCAN;12.0;9;;
9;FLUNSCH11;9.0;8;;
10;RAYMOND TSENG;3.0;7;;
11;D0CT0RKEV;-5.0;5;;
12;JANAJO;-6.0;4;3264;
13;GODSPAL;-21.0;4;;
14;NEER;-22.0;3;;
15;GORDON65;-24.0;3;;
16;RODZIA1981;-26.0;2;;
17;REPUTATION;-32.0;2;;
18;MILAN MACURA;-48.0;1;1933;
19;TOMEKT;-92.0;1;;
20;LUCIEN ŠÍMA;-384.0;1;3585;
