RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;HICHEM63;85.0;37;;
2;CIGA11;76.0;36;;
3;YIOSARIAN;59.0;35;;
4;ABRIDGEZ;51.0;35;;
5;DIMITEST;50.0;34;3739;
6;PIKAREK;45.0;33;;
7;TAPAN DAS;42.0;33;;
7;BONO LEE;42.0;33;;
9;BERKIM AS;41.0;31;;
10;CENNK;39.0;30;;
11;SOLPET;28.0;30;;
12;TUNG CHE;27.0;29;;
12;PATINIR;27.0;29;;
14;SOSSONA;26.0;28;;
14;ILEANTON;26.0;28;;
16;TIGERLEIN6;25.0;27;;
17;NEER;24.0;26;;
17;TIM94;24.0;26;3678;
17;J-MARC;24.0;26;;
20;ENDERD;23.0;25;;
21;PARTHAKAR;22.0;24;;
21;NULDA;22.0;24;1188;
23;DOCTOR54;21.0;23;;
23;P N RAO;21.0;23;;
25;SKORPION;20.0;22;;
25;RODZIA1981;20.0;22;;
27;JANAJO;17.0;21;3264;
28;JETER2452;15.0;21;;
28;SLAWEKODZABAWEK;15.0;21;;
28;AD64500;15.0;21;;
31;ROBCIM;14.0;19;;
31;ANM2;14.0;19;;
31;BOGDAN_P;14.0;19;;
31;KOLAY;14.0;19;;
35;ASKELADE;12.0;18;;
36;NAIRB;11.0;17;;
36;DEVEDISI;11.0;17;;
38;MIKI24;10.0;17;;
38;RYCHO45;10.0;17;;
40;GDADDY;9.0;16;;
40;DELGRIO;9.0;16;;
40;WILLE MIKKO;9.0;16;;
40;ADRIAR;9.0;16;;
44;CETIN;8.0;15;;
44;C_C_KILL;8.0;15;;
44;DRAPODY;8.0;15;;
47;WIZNA;7.0;14;;
48;SUNAY1967;6.0;14;;
48;ROBBEL;6.0;14;;
48;AUDRIUS;6.0;14;;
51;FEYZAN;5.0;13;;
51;MSTOKKE;5.0;13;;
53;RAV123;3.0;12;;
53;SHAJAHAN1952;3.0;12;;
55;IGOR PTC PABIANICE;2.0;12;3485;
56;CÉSAR PÁRIS;1.0;11;;
56;LOVELYYOU9;1.0;11;1597;
58;.ADAGIO;0.0;11;;
58;YPRES;0.0;11;;
60;CAP601;-1.0;10;;
60;JOAKIM NIVRE;-1.0;10;;
60;NITIN1;-1.0;10;;
60;LANITA;-1.0;10;;
60;MARJOEM;-1.0;10;;
65;CAPKETTY;-2.0;9;;
65;REPUTATION;-2.0;9;;
67;T67A;-3.0;9;;
67;ANETTESSEN;-3.0;9;;
67;POULIS MANOLIS;-3.0;9;;
67;LOOPL;-3.0;9;;
67;ERICSHUEN;-3.0;9;;
67;GAUZZI;-3.0;9;;
73;NBERRA;-4.0;8;;
73;PALESTINE2022;-4.0;8;;
73;ELVISTOSEN;-4.0;8;;
76;LIONHEART3NT;-5.0;7;;
76;IVAN HRBEK;-5.0;7;;
78;CFD47;-6.0;7;;
78;BEBE11264;-6.0;7;;
80;DOMINEU;-7.0;7;;
80;VISSEFJÄRDA;-7.0;7;;
80;UNIMOJO;-7.0;7;;
83;MEIMEI8600;-8.0;6;;
83;KAROLINA73;-8.0;6;;
83;ANDREJSFR;-8.0;6;;
86;MURATTINO;-9.0;6;;
86;ACURA;-9.0;6;;
86;VOLKER HUND-SCHULZE;-9.0;6;;
86;JONNY GJERDE;-9.0;6;;
90;PAWLUT;-10.0;6;;
90;KESS2;-10.0;6;;
90;GUIGUI278;-10.0;6;;
90;BRUNETM;-10.0;6;;
94;270022;-11.0;5;;
94;SENOL53;-11.0;5;;
96;PARKY666;-12.0;5;;
96;LEIF_L;-12.0;5;;
96;JK72;-12.0;5;;
96;SHOPPA;-12.0;5;;
96;MARCUSHJ;-12.0;5;;
101;MOCNY;-13.0;4;;
102;HETTIE5;-16.0;4;;
102;ALF 13;-16.0;4;;
102;RAYMOND TSENG;-16.0;4;;
102;HZG2322;-16.0;4;;
106;ESAS;-19.0;4;;
107;BALBEY;-20.0;4;;
107;LAURENC71;-20.0;4;;
109;JACKNOSE;-23.0;4;;
109;ELSON9327;-23.0;4;;
111;YZKTR;-24.0;4;;
111;NICO42;-24.0;4;;
113;MAURICE05;-25.0;3;;
114;MIME38;-26.0;3;;
114;NHISI;-26.0;3;;
114;FANFAN05;-26.0;3;;
114;VIBSEN DK;-26.0;3;;
114;GATOONE51;-26.0;3;;
119;INNA MALYSHEV;-31.0;3;;
119;FLEUR BLEUE;-31.0;3;;
121;FLO7;-32.0;3;;
122;123GOAL;-33.0;3;;
122;CMOREU;-33.0;3;;
124;VOFF;-34.0;3;;
125;CATBZ75;-39.0;3;;
126;LANGOZ;-41.0;3;;
127;TOTSENIOR;-45.0;3;;
128;JONHANDS;-49.0;2;;
129;OKTAY5956;-62.0;2;;
130;HOFFMEISTER;-65.0;2;;
131;BONANZA1969;-84.0;2;;
132;ANTAKYA BRIC;-90.0;2;;
133;OAK3;-107.0;2;;
134;NSK4;-122.0;2;;
135;BEGONIA4;-123.0;2;;
136;ENIMA2018;-150.0;2;;
137;VESNA MRKOCI;-158.0;2;;
138;CHONDRELLISV;-159.0;2;;
139;ASD AS;-200.0;2;;
140;MRVERTIGO;-270.0;2;;
141;ERIKJUNIOR;-291.0;2;;
142;ORPHEUS_MR;-316.0;2;3578;
143;NSK-62;-339.0;2;;
143;MAMATYTY13;-339.0;2;3246;
145;MADMUA;-345.0;2;;
146;BATMAN1974;-348.0;2;;
147;KARACAYLI9;-359.0;2;;
148;NINE327;-384.0;2;;
148;SAYCHEESE;-384.0;2;;
148;PBKING;-384.0;2;;
148;MAŁA MI;-384.0;2;;
148;GENEG;-384.0;2;;
148;COŞKUN GÜLTEKIN;-384.0;2;;
148;PAULWK;-384.0;2;;
148;TROOPET;-384.0;2;;
148;RAJUSEN;-384.0;2;;
148;OBOI;-384.0;2;;
148;KONTO SKASOWANE;-384.0;2;;
148;NITIN1960;-384.0;2;;
148;SNK-1;-384.0;2;;
148;DHAINES;-384.0;2;;
148;BODOMIR ZOWALSKI;-384.0;2;;
148;GONSHURAM GHATIRAM;-384.0;2;;
148;DON LABRADOR;-384.0;2;;
148;CALPE26;-384.0;2;;
148;KORPIKYLÄ;-384.0;2;;
148;MICHAEL TRUMP;-384.0;2;;
148;SOIZOUF;-384.0;2;;
148;SHIRSEN;-384.0;2;;
148;MILI SEN;-384.0;2;;
