RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RODZIA1981;24.0;30;;
2;D0CT0RKEV;8.0;15;;
3;NULDA;-1.0;8;1188;
4;GAUZZI;-5.0;4;;
5;IVAN HRBEK;-11.0;2;;
6;INNA MALYSHEV;-17.0;1;;
