RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;JANAJO;13.0;30;3264;
2;KAJKA10;11.0;15;;
3;LUCIEN ŠÍMA;1.0;8;3585;
4;D0CT0RKEV;-2.0;4;;
5;GODSPAL;-87.0;2;;
6;JITULE;-136.0;1;2715;
