RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;D0CT0RKEV;22.0;29;;
2;JANAJO;10.0;13;3264;
3;NULDA;9.0;5;1188;
4;INNA MALYSHEV;2.0;2;;
5;IVAN HRBEK;-26.0;1;;
