RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;D0CT0RKEV;19.0;27;;
2;JANAJO;-3.0;9;3264;
3;RODZIA1981;-17.0;3;;
4;NULDA;-263.0;1;1188;
