RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;GODSPAL;25.0;30;;
2;D0CT0RKEV;20.0;15;;
3;LUBOSTUMA;0.0;8;3045;
4;MAXIM ZHMAK;-12.0;4;2882;
5;JANAJO;-36.0;2;3264;
6;MILAN MACURA;-338.0;1;1933;
