RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;LOVELYYOU9;14.0;31;1597;
2;RODZIA1981;1.0;17;;
3;IVAN HRBEK;0.0;10;;
3;INNA MALYSHEV;0.0;10;;
5;D0CT0RKEV;-1.0;3;;
5;RACKAM;-1.0;3;;
7;BRAVO T;-7.0;1;;
