RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;GODSPAL;68.75;27;;
2;D0CT0RKEV;50.0;9;;
3;LUCIEN ŠÍMA;40.63;3;3585;
3;JANAJO;40.63;3;3264;
