RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;ALPAYGE;10.0;31;;
2;GODSPAL;9.0;17;;
3;KAJKA10;-2.0;10;;
4;D0CT0RKEV;-4.0;6;;
5;LUCIEN ŠÍMA;-5.0;3;3585;
6;IVAN HRBEK;-9.0;2;;
7;NO MORSEL;-100.0;1;2876;
