RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;LUCIEN ŠÍMA;45.0;30;3585;
2;MILAN MACURA;38.0;15;1933;
3;D0CT0RKEV;0.0;8;;
4;JANAJO;-21.0;4;3264;
5;RODZIA1981;-93.0;2;;
6;NULDA;-123.0;1;1188;
