RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;MAXIM ZHMAK;25.0;27;2882;
2;D0CT0RKEV;6.0;9;;
3;JANAJO;2.0;3;3264;
4;GODSPAL;-215.0;1;;
