RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RODZIA1981;24.0;32;;
2;D0CT0RKEV;15.0;19;;
3;NULDA;6.0;12;1188;
4;CHOCOLATBRIDGE;1.0;7;;
5;RACKAM;-1.0;4;;
5;MINOKID;-1.0;4;;
7;GOUDY;-11.0;2;;
8;IVAN HRBEK;-25.0;1;;
