RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;GODSPAL;71.88;31;;
2;D0CT0RKEV;70.31;17;;
3;MILAN MACURA;59.38;10;1933;
4;JANAJO;31.25;6;3264;
5;MARTIN.ROHMER.TEST;23.44;3;;
6;GRIDELY;9.38;2;;
7;MARTIN R.;0.0;1;;
