RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RODZIA1981;17.0;32;;
2;NULDA;7.0;19;1188;
3;D0CT0RKEV;6.0;12;;
4;DEVEDISI;4.0;7;;
5;ERWINNER;2.0;4;;
6;JLMARTINHO;-2.0;3;;
7;MILAN MACURA;-11.0;2;1933;
8;IVAN HRBEK;-18.0;1;;
