RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;GODSPAL;73.7;33;;
2;D0CT0RKEV;60.94;24;;
3;FATORANGE;59.64;18;;
4;RODZIA1981;58.33;13;;
5;JANAJO;50.0;9;3264;
6;DZUNGARA;48.18;7;2346;
7;BOCDU;40.89;5;;
8;LILIPOP O;33.85;4;;
9;LUBOSTUMA;29.43;3;3045;
10;NO MORSEL;5.47;2;2876;
11;MARTIN.ROHMER.TEST;2.08;1;;
12;MILAN MACURA;0.0;1;1933;
