RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;MARCUSHJ;56.25;31;;
2;D0CT0RKEV;55.21;17;;
3;LUBOSTUMA;51.56;10;3045;
4;GODSPAL;51.04;6;;
5;RODZIA1981;47.4;3;;
6;SERGOVOY;40.1;2;;
7;MILAN MACURA;1.56;1;1933;
