RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RACKAM;10.0;29;;
2;RODZIA1981;1.0;13;;
3;MAXIM ZHMAK;-1.0;5;2882;
4;IVAN HRBEK;-4.0;2;;
5;D0CT0RKEV;-7.0;1;;
