RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RODZIA1981;9.0;29;;
2;GODSPAL;3.0;13;;
3;JANAJO;-1.0;5;3264;
4;D0CT0RKEV;-11.0;2;;
5;MILAN MACURA;-384.0;1;1933;
