RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;D0CT0RKEV;12.0;31;;
2;RODZIA1981;8.0;17;;
2;KASTANEK;8.0;17;2832;
4;NULDA;2.0;6;1188;
5;IVAN HRBEK;-2.0;3;;
6;INNA MALYSHEV;-5.0;2;;
7;CHOCOLATBRIDGE;-20.0;1;;
