RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RODZIA1981;65.18;32;;
2;MAXIM ZHMAK;58.04;19;2882;
3;GODSPAL;55.36;12;;
4;TAYGOUR -;51.79;7;;
5;MILAN MACURA;48.66;4;1933;
6;JANAJO;48.21;3;3264;
7;D0CT0RKEV;37.95;2;;
8;LUBOSTUMA;34.82;1;3045;
