RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RODZIA1981;30.0;29;;
2;NULDA;21.0;13;1188;
3;D0CT0RKEV;5.0;5;;
4;IVAN HRBEK;-20.0;2;;
5;JEAN REMI;-28.0;1;;
