RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RODZIA1981;17.0;29;;
2;D0CT0RKEV;13.0;13;;
3;CHOCOLATBRIDGE;4.0;5;;
4;IVAN HRBEK;-1.0;2;;
5;INNA MALYSHEV;-29.0;1;;
