RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;RACKAM;11.0;33;;
2;DEVEDISI;8.0;23;;
3;D0CT0RKEV;7.0;15;;
4;BOGDAN_P;3.0;10;;
5;VOLKER HUND-SCHULZE;2.0;7;;
6;NULDA;-3.0;5;1188;
7;IVAN HRBEK;-11.0;3;;
7;FRONEMA;-11.0;3;3232;
9;RODZIA1981;-12.0;1;;
10;MINOKID;-144.0;1;;
