RANK;NICKNAME;RESULT;MASTERPOINTS;LICENCE
1;D0CT0RKEV;13.0;29;;
2;INNA MALYSHEV;11.0;13;;
3;RODZIA1981;-1.0;5;;
4;IVAN HRBEK;-9.0;2;;
5;DEVEDISI;-14.0;1;;
